index,entity,supplier,ml_score,composite_score,tier,flags,shap_top3,legal_citations,fraud_label
113,Ghana Ports and Harbours Authority,"Messrs. Certification, Inspection and Training Ghana Limited",99.8,57.4,🔴 ESCALATE,"['Supplier holds 33.3% of entity awards — concentration risk', 'Supplier linked to 1 confirmed fraud case(s)', '50% sole source rate — above acceptable threshold (S.40-41 Act 663)', '1 sole source contract(s) confirmed fraudulent', '2 of 2 contracts confirmed fraudulent (100% fraud rate)']","['supplier_risk_score increases fraud risk (impact: 4.905)', 'award_concentration increases fraud risk (impact: 1.024)', 'entity_frequency increases fraud risk (impact: 0.614)']",['S.3 Act 663 (Transparency and Accountability)'],1
114,Ghana Ports and Harbours Authority,Unknown,46.4,43.6,🟡 REVIEW,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 66.7% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '50% sole source rate — above acceptable threshold (S.40-41 Act 663)', '1 sole source contract(s) confirmed fraudulent', '2 of 2 contracts confirmed fraudulent (100% fraud rate)']","['supplier_risk_score decreases fraud risk (impact: 1.392)', 'entity_frequency increases fraud risk (impact: 1.225)', 'is_sole_source decreases fraud risk (impact: 0.818)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.3 Act 663 (Transparency and Accountability)']",1
115,National Petroleum Authority (NPA),Unknown,3.5,30.9,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 41.7% of entity awards — concentration risk', 'Entity variation abuse rate: 33.3%', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '33% variation rate — elevated above normal threshold', '33% sole source rate — above acceptable threshold (S.40-41 Act 663)', '1 sole source contract(s) confirmed fraudulent', '1 of 12 contracts confirmed fraudulent (8% fraud rate)', '83% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 1.924)', 'entity_frequency decreases fraud risk (impact: 1.601)', 'is_sole_source decreases fraud risk (impact: 0.901)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.87 Act 663 (Contract Variations)', 'S.3 Act 663 (Transparency and Accountability)']",0
116,Bulk Oil Storage and Transportatio n Company Limited (BOST),Unknown,13.6,15.9,🟢 MONITOR,"['Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '25% variation rate — elevated above normal threshold']","['supplier_risk_score decreases fraud risk (impact: 1.530)', 'award_concentration increases fraud risk (impact: 0.874)', 'method_abuse_score decreases fraud risk (impact: 0.808)']",['S.87 Act 663 (Contract Variations)'],0
117,Ghana Export Promotion Authority (GEPA),Unknown,4.9,24.0,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 33.3% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '33% sole source rate — above acceptable threshold (S.40-41 Act 663)', '1 of 6 contracts confirmed fraudulent (16% fraud rate)']","['supplier_risk_score decreases fraud risk (impact: 1.723)', 'entity_frequency decreases fraud risk (impact: 1.583)', 'award_concentration increases fraud risk (impact: 1.480)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.3 Act 663 (Transparency and Accountability)']",0
118,Ghana Export Promotion Authority (GEPA),Unknown,4.9,24.0,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 33.3% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '33% sole source rate — above acceptable threshold (S.40-41 Act 663)', '1 of 6 contracts confirmed fraudulent (16% fraud rate)']","['supplier_risk_score decreases fraud risk (impact: 1.723)', 'entity_frequency decreases fraud risk (impact: 1.583)', 'award_concentration increases fraud risk (impact: 1.480)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.3 Act 663 (Transparency and Accountability)']",0
119,Ministry of Finance (MoF),Unknown,1.0,33.2,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Variation issued on audit-flagged contract (S.59 Act 663)', 'Supplier holds 46.2% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '2 of 13 contracts confirmed fraudulent (15% fraud rate)', '84% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 15.23 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 2.019)', 'entity_frequency decreases fraud risk (impact: 1.570)', 'is_sole_source decreases fraud risk (impact: 0.785)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.92-93 Act 663 (Procurement Offences)', 'S.87 Act 663 (Contract Variations)', 'S.3 Act 663 (Transparency and Accountability)']",0
120,Ministry of Finance (MoF),Unknown,3.4,25.9,🟢 MONITOR,"['Supplier holds 46.2% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '2 of 13 contracts confirmed fraudulent (15% fraud rate)', '84% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 15.23 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 1.714)', 'entity_frequency decreases fraud risk (impact: 1.570)', 'audit_intensity decreases fraud risk (impact: 0.322)']","['S.92-93 Act 663 (Procurement Offences)', 'S.3 Act 663 (Transparency and Accountability)']",0
121,Ministry of Finance (MoF),Messrs KRL LLC,0.5,15.7,🟢 MONITOR,"['Supplier appears in 1 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '2 of 13 contracts confirmed fraudulent (15% fraud rate)', '84% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 15.23 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 4.146)', 'entity_frequency decreases fraud risk (impact: 0.854)', 'supplier_frequency decreases fraud risk (impact: 0.671)']",['S.92-93 Act 663 (Procurement Offences)'],0
122,National Cardiothoraci c Centre (NCTC),Unknown,0.7,26.0,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 100.0% of entity awards — concentration risk', 'Procurement method abuse pattern detected (S.40-41 Act 663)', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% of contracts are sole source — systematic bypass of competition (S.40-41 Act 663)', 'Entity method abuse score: 1.00 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.625)', 'supplier_risk_score decreases fraud risk (impact: 1.894)', 'is_sole_source decreases fraud risk (impact: 1.155)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
123,National Cardiothoraci c Centre (NCTC),Unknown,0.7,26.0,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 100.0% of entity awards — concentration risk', 'Procurement method abuse pattern detected (S.40-41 Act 663)', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% of contracts are sole source — systematic bypass of competition (S.40-41 Act 663)', 'Entity method abuse score: 1.00 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.625)', 'supplier_risk_score decreases fraud risk (impact: 1.894)', 'is_sole_source decreases fraud risk (impact: 1.155)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
124,Korle Bu Teaching Hospital (KBTH),Unknown,0.6,21.7,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 57.1% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '42% sole source rate — above acceptable threshold (S.40-41 Act 663)', 'Entity method abuse score: 0.43 — pattern of procurement rule circumvention', '85% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['entity_frequency decreases fraud risk (impact: 2.064)', 'supplier_risk_score decreases fraud risk (impact: 1.960)', 'is_sole_source decreases fraud risk (impact: 0.939)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
125,National Petroleum Authority (NPA),Unknown,3.5,30.9,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 41.7% of entity awards — concentration risk', 'Entity variation abuse rate: 33.3%', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '33% variation rate — elevated above normal threshold', '33% sole source rate — above acceptable threshold (S.40-41 Act 663)', '1 sole source contract(s) confirmed fraudulent', '1 of 12 contracts confirmed fraudulent (8% fraud rate)', '83% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 1.924)', 'entity_frequency decreases fraud risk (impact: 1.601)', 'is_sole_source decreases fraud risk (impact: 0.901)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.3 Act 663 (Transparency and Accountability)']",1
126,Ghana Cocoa Board (COCOBOD),Unknown,2.3,19.4,🟢 MONITOR,"['Supplier holds 66.7% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 of 3 contracts confirmed fraudulent (33% fraud rate)', '33% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 1.00 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 1.558)', 'entity_frequency decreases fraud risk (impact: 0.960)', 'method_abuse_score decreases fraud risk (impact: 0.605)']",['S.3 Act 663 (Transparency and Accountability)'],0
127,Ghana Revenue Authority (GRA),Persol System Limited,1.0,16.9,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier appears in 1 Auditor-General finding(s)', '100% of awards were sole source — bypasses competition (S.38-41)', '1 sole source contract(s) flagged by Auditor-General', '80% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 12.80 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 3.770)', 'entity_frequency decreases fraud risk (impact: 0.861)', 'award_concentration increases fraud risk (impact: 0.776)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.92-93 Act 663 (Procurement Offences)']",0
128,Ministry of Education,Messrs. Enterprise Insurance Company Ltd,0.2,6.6,🟢 MONITOR,"['Supplier holds 50.0% of entity awards — concentration risk', '1 of 2 contracts confirmed fraudulent (50% fraud rate)']","['supplier_risk_score decreases fraud risk (impact: 4.290)', 'supplier_frequency decreases fraud risk (impact: 0.906)', 'award_concentration decreases fraud risk (impact: 0.597)']",['S.3 Act 663 (Transparency and Accountability)'],0
129,Bank of Ghana,Messrs. IT Market Limited,0.5,9.2,🟢 MONITOR,"['Supplier appears in 1 Auditor-General finding(s)', '1 sole source contract(s) flagged by Auditor-General', '100% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 35.00 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 4.219)', 'entity_frequency decreases fraud risk (impact: 0.774)', 'supplier_frequency decreases fraud risk (impact: 0.707)']",['S.92-93 Act 663 (Procurement Offences)'],0
130,Bank of Ghana,Unknown,0.3,22.6,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 60.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 sole source contract(s) flagged by Auditor-General', '100% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 35.00 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 2.028)', 'entity_frequency decreases fraud risk (impact: 1.928)', 'is_sole_source decreases fraud risk (impact: 0.785)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.92-93 Act 663 (Procurement Offences)', 'S.3 Act 663 (Transparency and Accountability)']",0
131,University of Ghana (UG),Messrs. Prerceingle catering Services,0.4,6.2,🟢 MONITOR,"['Supplier appears in 1 Auditor-General finding(s)', '66% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 2.22 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 4.153)', 'entity_frequency decreases fraud risk (impact: 1.057)', 'supplier_frequency decreases fraud risk (impact: 0.636)']",['S.92-93 Act 663 (Procurement Offences)'],0
132,National Health Insurance Authority (NHIA),Messrs. Zoomlion Ghana Limited,0.2,4.6,🟢 MONITOR,"['Supplier holds 50.0% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.290)', 'supplier_frequency decreases fraud risk (impact: 0.906)', 'award_concentration decreases fraud risk (impact: 0.597)']",['S.3 Act 663 (Transparency and Accountability)'],0
133,Social Security and National Insurance Trust (SSNIT),Unknown,5.6,11.2,🟢 MONITOR,"['Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)']","['entity_frequency decreases fraud risk (impact: 1.647)', 'supplier_risk_score decreases fraud risk (impact: 1.598)', 'award_concentration increases fraud risk (impact: 0.698)']",['No specific violations flagged'],0
134,National Identification Authority (NIA),Metro Mass Transit Limited (MMTL),0.3,5.4,🟢 MONITOR,"['Entity variation abuse rate: 40.0%', '100% of contracts have variations — inflation risk', '40% variation rate — elevated above normal threshold']","['supplier_risk_score decreases fraud risk (impact: 4.091)', 'supplier_frequency decreases fraud risk (impact: 1.042)', 'method_abuse_score decreases fraud risk (impact: 0.626)']",['S.87 Act 663 (Contract Variations)'],0
135,National Identification Authority (NIA),Unknown,3.2,13.3,🟢 MONITOR,"['Entity variation abuse rate: 40.0%', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '40% variation rate — elevated above normal threshold']","['supplier_risk_score decreases fraud risk (impact: 1.650)', 'supplier_frequency decreases fraud risk (impact: 1.042)', 'method_abuse_score decreases fraud risk (impact: 0.772)']",['S.87 Act 663 (Contract Variations)'],0
136,Ghana Revenue Authority (GRA),Messrs. Digital Innova Ghana Limited,0.5,9.2,🟢 MONITOR,"['Supplier appears in 1 Auditor-General finding(s)', '1 sole source contract(s) flagged by Auditor-General', '80% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 12.80 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 4.219)', 'entity_frequency decreases fraud risk (impact: 0.774)', 'supplier_frequency decreases fraud risk (impact: 0.707)']",['S.92-93 Act 663 (Procurement Offences)'],0
137,Lands Commission,Messrs. Aynok Holdings Ltd,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
138,Bulk Oil Storage and Transportation Company Limited (BOST),Messrs. TSL Logistics (Ghana) Limited,99.6,60.8,🔴 ESCALATE,"['Supplier linked to 1 confirmed fraud case(s)', 'Supplier appears in 1 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '3 of 15 contracts confirmed fraudulent (20% fraud rate)', '33% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)']","['supplier_risk_score increases fraud risk (impact: 5.500)', 'entity_frequency decreases fraud risk (impact: 0.779)', 'award_concentration increases fraud risk (impact: 0.559)']",['S.92-93 Act 663 (Procurement Offences)'],1
139,National Petroleum Authority (NPA),Nationwide Technologies Limited,1.7,15.9,🟢 MONITOR,"['Entity variation abuse rate: 33.3%', '100% of contracts have variations — inflation risk', '33% variation rate — elevated above normal threshold', '33% sole source rate — above acceptable threshold (S.40-41 Act 663)', '1 sole source contract(s) confirmed fraudulent', '1 of 12 contracts confirmed fraudulent (8% fraud rate)', '83% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.061)', 'entity_frequency decreases fraud risk (impact: 1.115)', 'award_concentration increases fraud risk (impact: 0.560)']",['S.87 Act 663 (Contract Variations)'],0
140,PSC Tema Shipyard Limited (Tema Shipyard),Messrs Goil Company Limited,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
141,Public Health Nurses School - Korle Bu,Save Rental Enterprise,0.9,4.9,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 3.892)', 'award_concentration decreases fraud risk (impact: 1.572)', 'entity_frequency increases fraud risk (impact: 0.906)']",['S.3 Act 663 (Transparency and Accountability)'],0
142,Ministry of Finance (MoF),Messrs. Crown Agen Ghana Ltd (CAGL) as the Consultant,99.3,61.2,🔴 ESCALATE,"['Supplier linked to 1 confirmed fraud case(s)', 'Supplier appears in 1 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '2 of 13 contracts confirmed fraudulent (15% fraud rate)', '84% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 15.23 — entity under sustained scrutiny']","['supplier_risk_score increases fraud risk (impact: 5.579)', 'entity_frequency decreases fraud risk (impact: 0.753)', 'award_concentration increases fraud risk (impact: 0.446)']",['S.92-93 Act 663 (Procurement Offences)'],1
143,Ministry of Transport (MoT),Kingstel Hotel,0.8,3.3,🟢 MONITOR,['Supplier holds 50.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 4.182)', 'award_concentration decreases fraud risk (impact: 0.556)', 'method_abuse_score decreases fraud risk (impact: 0.548)']",['S.3 Act 663 (Transparency and Accountability)'],0
144,Ghana National Gas Company (Ghana Gas),Messrs. Mikensy Consulting Limited,99.0,49.1,🟡 REVIEW,"['Supplier linked to 1 confirmed fraud case(s)', '1 of 6 contracts confirmed fraudulent (16% fraud rate)']","['supplier_risk_score increases fraud risk (impact: 5.622)', 'entity_frequency decreases fraud risk (impact: 0.766)', 'award_concentration increases fraud risk (impact: 0.471)']",['No specific violations flagged'],1
145,Judicial Service (JS),Messrs. Jagsroad Car Rental Limited (JCRL),0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
146,Ghana Railway Authority,Messrs. TEAM Engineering S.P.A,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
147,Ministry of Health,Ghana Telecommunications Company Limited,1.5,2.1,🟢 MONITOR,['80% repeat supplier rate — limited supplier diversity (S.3 Act 663)'],"['supplier_risk_score decreases fraud risk (impact: 4.142)', 'entity_frequency decreases fraud risk (impact: 0.864)', 'award_concentration increases fraud risk (impact: 0.834)']",['No specific violations flagged'],0
148,University of Ghana (UG),Unknown,1.0,15.4,🟢 MONITOR,"['Supplier holds 55.6% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '66% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 2.22 — entity under sustained scrutiny']","['entity_frequency decreases fraud risk (impact: 2.107)', 'supplier_risk_score decreases fraud risk (impact: 1.731)', 'variation_abuse_rate decreases fraud risk (impact: 0.385)']",['S.3 Act 663 (Transparency and Accountability)'],0
149,Volta River Authority (VRA),Chase Petroleum Ghana Limited (Chase Petroleum),0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
150,National Petroleum Authority (NPA),Messrs. Docutech Ghana Limited,0.6,13.2,🟢 MONITOR,"['Entity variation abuse rate: 33.3%', '33% variation rate — elevated above normal threshold', '33% sole source rate — above acceptable threshold (S.40-41 Act 663)', '1 sole source contract(s) confirmed fraudulent', '1 of 12 contracts confirmed fraudulent (8% fraud rate)', '83% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.161)', 'entity_frequency decreases fraud risk (impact: 0.935)', 'supplier_frequency decreases fraud risk (impact: 0.892)']",['No specific violations flagged'],0
151,Ghana National Gas Company (Ghana Gas),Messrs. Lockson & Minors Company Limited,0.3,3.6,🟢 MONITOR,['1 of 6 contracts confirmed fraudulent (16% fraud rate)'],"['supplier_risk_score decreases fraud risk (impact: 4.060)', 'supplier_frequency decreases fraud risk (impact: 0.985)', 'entity_frequency decreases fraud risk (impact: 0.895)']",['No specific violations flagged'],0
152,Ministry of Local Government Decentralization and Rural Development (MLGDRD),Messrs. Sysnet Solutions,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
153,Cape Coast Technical University (CCTU),Unknown,1.3,26.3,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 100.0% of entity awards — concentration risk', 'Procurement method abuse pattern detected (S.40-41 Act 663)', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% of contracts are sole source — systematic bypass of competition (S.40-41 Act 663)', 'Entity method abuse score: 1.00 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.585)', 'supplier_risk_score decreases fraud risk (impact: 1.872)', 'is_sole_source decreases fraud risk (impact: 1.155)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
154,Ministry of Railway Development (MoRD),Ghana Institute of Management and Public Administration (GIMPA) to undertake a Labour Rationalization Exercise at the Ghana Railway Company Limited,98.3,51.8,🔴 ESCALATE,"['Supplier holds 50.0% of entity awards — concentration risk', 'Supplier linked to 1 confirmed fraud case(s)', '1 of 2 contracts confirmed fraudulent (50% fraud rate)']","['supplier_risk_score increases fraud risk (impact: 4.834)', 'award_concentration decreases fraud risk (impact: 0.589)', 'method_abuse_score decreases fraud risk (impact: 0.489)']",['S.3 Act 663 (Transparency and Accountability)'],1
155,Ministry of Railway Development (MoRD),Messrs. Xingrui International Development Limited,0.2,6.6,🟢 MONITOR,"['Supplier holds 50.0% of entity awards — concentration risk', '1 of 2 contracts confirmed fraudulent (50% fraud rate)']","['supplier_risk_score decreases fraud risk (impact: 4.290)', 'supplier_frequency decreases fraud risk (impact: 0.906)', 'award_concentration decreases fraud risk (impact: 0.597)']",['S.3 Act 663 (Transparency and Accountability)'],0
156,Metro Mass Transit Limited,Unknown,2.4,13.0,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)']","['award_concentration decreases fraud risk (impact: 1.910)', 'supplier_risk_score decreases fraud risk (impact: 1.775)', 'entity_frequency increases fraud risk (impact: 0.961)']",['S.3 Act 663 (Transparency and Accountability)'],0
157,University of Professional Studies (UPSA),Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
158,National Insurance Commission (NIC),Messrs Toyota Ghana Company,99.2,54.2,🔴 ESCALATE,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 1 confirmed fraud case(s)', '1 of 1 contracts confirmed fraudulent (100% fraud rate)', 'Average supplier risk score: 1.00 — entity consistently awards to high-risk suppliers']","['supplier_risk_score increases fraud risk (impact: 5.727)', 'award_concentration decreases fraud risk (impact: 1.080)', 'entity_frequency increases fraud risk (impact: 0.709)']",['S.3 Act 663 (Transparency and Accountability)'],1
159,Bulk Oil Storage and Transportation,Messrs. Gluma Steve Enterprise,99.8,56.9,🔴 ESCALATE,"['Supplier linked to 1 confirmed fraud case(s)', 'Supplier appears in 1 Auditor-General finding(s)', '1 of 1 contracts confirmed fraudulent (100% fraud rate)', '100% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Average supplier risk score: 1.00 — entity consistently awards to high-risk suppliers']","['supplier_risk_score increases fraud risk (impact: 4.939)', 'entity_frequency increases fraud risk (impact: 0.694)', 'supplier_frequency decreases fraud risk (impact: 0.515)']",['S.92-93 Act 663 (Procurement Offences)'],1
160,"Ministry of Local Government, Decentralization and Rural Development (MLGDRD)",Unknown,86.2,62.7,🔴 ESCALATE,"['Supplier holds 33.3% of entity awards — concentration risk', 'Procurement method abuse pattern detected (S.40-41 Act 663)', 'Entity variation abuse rate: 66.7%', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '66% of contracts are variations — systematic inflation pattern (S.87 Act 663)', '66% of contracts are sole source — systematic bypass of competition (S.40-41 Act 663)', 'Entity method abuse score: 0.67 — pattern of procurement rule circumvention', '1 of 6 contracts confirmed fraudulent (16% fraud rate)']","['award_concentration increases fraud risk (impact: 1.608)', 'method_abuse_score increases fraud risk (impact: 1.418)', 'entity_frequency decreases fraud risk (impact: 1.156)']","['S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",1
161,National Petroleum Authority (NPA),Messrs. Mitsulift Ghana Limited,0.6,15.5,🟢 MONITOR,"['Entity variation abuse rate: 33.3%', '100% of contracts have variations — inflation risk', '33% variation rate — elevated above normal threshold', '33% sole source rate — above acceptable threshold (S.40-41 Act 663)', '1 sole source contract(s) confirmed fraudulent', '1 of 12 contracts confirmed fraudulent (8% fraud rate)', '83% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.161)', 'entity_frequency decreases fraud risk (impact: 0.935)', 'supplier_frequency decreases fraud risk (impact: 0.892)']",['S.87 Act 663 (Contract Variations)'],0
